catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0191585,Ricocare 0.2% Mouth Wash,Enrico Pharmaceuticals,,allopathy,,65.4,False,ricocare 0.2% mouth wash |  | enrico pharmaceuticals | allopathy | 
MED0191586,Rapzol Injection,Rapid Life Drugs & Healthcare,,allopathy,,55.0,False,rapzol injection |  | rapid life drugs & healthcare | allopathy | 
MED0191587,Rabetol L 75mg/20mg Capsule,3D Healthcare,,allopathy,,145.0,False,rabetol l 75mg/20mg capsule |  | 3d healthcare | allopathy | 
MED0191588,Recreate 1500mcg Injection,Uniphar Biotech Private Limited,,allopathy,,36.0,False,recreate 1500mcg injection |  | uniphar biotech private limited | allopathy | 
MED0191589,Riposh Forte Tablet,Kivonyx Healthcare,,allopathy,,45.5,False,riposh forte tablet |  | kivonyx healthcare | allopathy | 
MED0191590,Rabip-IT Capsule,Nova Indus Pharmaceuticals,,allopathy,,120.0,False,rabip-it capsule |  | nova indus pharmaceuticals | allopathy | 
MED0191591,Romicin 250mg Injection,Medirose drug & pharma,,allopathy,,28.0,False,romicin 250mg injection |  | medirose drug & pharma | allopathy | 
MED0191592,Repridon Plus 3mg/2mg Tablet,Konark Biochem,,allopathy,,29.0,False,repridon plus 3mg/2mg tablet |  | konark biochem | allopathy | 
MED0191593,Roslong F 145mg/10mg Tablet,Sunmarker Pharma,,allopathy,,105.0,False,roslong f 145mg/10mg tablet |  | sunmarker pharma | allopathy | 
MED0191594,Roxel 150mg Tablet,Brussels Laboratories Pvt Ltd,,allopathy,,58.0,False,roxel 150mg tablet |  | brussels laboratories pvt ltd | allopathy | 
MED0191595,Rabwatch DSR Capsule,Indica Biolife Sciences,,allopathy,,89.0,False,rabwatch dsr capsule |  | indica biolife sciences | allopathy | 
MED0191596,Rabzot-L Capsule SR,Walberg Pharmaceuticals,,allopathy,,149.0,False,rabzot-l capsule sr |  | walberg pharmaceuticals | allopathy | 
MED0191597,Rytola Syrup,Adiza Healthcare,,allopathy,,80.0,False,rytola syrup |  | adiza healthcare | allopathy | 
MED0191598,Rabecon 20mg Tablet,Magma Allianz Laboratories Ltd,,allopathy,,51.0,False,rabecon 20mg tablet |  | magma allianz laboratories ltd | allopathy | 
MED0191599,Rextyl-A Syrup,Vitabiotech Healthcare Private Limited,,allopathy,,75.0,False,rextyl-a syrup |  | vitabiotech healthcare private limited | allopathy | 
MED0191600,Roslysis 10mg Tablet,Jrb Lifesciences Private Limited,,allopathy,,110.0,False,roslysis 10mg tablet |  | jrb lifesciences private limited | allopathy | 
MED0191601,Rabigat 20mg Tablet,Gatlen Biotech,,allopathy,,51.0,False,rabigat 20mg tablet |  | gatlen biotech | allopathy | 
MED0191602,Rtdine Syrup Pineapple,Kishri Pharma Private Limited,,allopathy,,59.2,False,rtdine syrup pineapple |  | kishri pharma private limited | allopathy | 
MED0191603,Razcold Syrup,Magma Allianz Laboratories Ltd,,allopathy,,72.0,False,razcold syrup |  | magma allianz laboratories ltd | allopathy | 
MED0191604,Rabis 20mg Injection,Suave Healthcare Pvt Ltd,,allopathy,,48.0,False,rabis 20mg injection |  | suave healthcare pvt ltd | allopathy | 
MED0191605,Rosuvford 20mg Tablet,Maxford Labs Pvt. Ltd.,,allopathy,,180.0,False,rosuvford 20mg tablet |  | maxford labs pvt. ltd. | allopathy | 
MED0191606,Rvprox 200 Tablet,Revive Pharma,,allopathy,,192.0,False,rvprox 200 tablet |  | revive pharma | allopathy | 
MED0191607,Ross Vee C 500mg Injection,Rosswelt Biosciences,,allopathy,,330.0,False,ross vee c 500mg injection |  | rosswelt biosciences | allopathy | 
MED0191608,Rabevolk 20 Tablet,Medivolks Pharma,,allopathy,,51.0,False,rabevolk 20 tablet |  | medivolks pharma | allopathy | 
MED0191609,Rosquit 10mg Tablet,Kamcure Biotech,,allopathy,,120.0,False,rosquit 10mg tablet |  | kamcure biotech | allopathy | 
MED0191610,Rosubus 10mg Tablet,Globus Remedies Ltd,,allopathy,,99.0,False,rosubus 10mg tablet |  | globus remedies ltd | allopathy | 
MED0191611,Rabedoq-DSR Capsule,Doqchem,,allopathy,,145.0,False,rabedoq-dsr capsule |  | doqchem | allopathy | 
MED0191612,Ricypro T Syrup,Aseric Pharma,,allopathy,,125.0,False,ricypro t syrup |  | aseric pharma | allopathy | 
MED0191613,Rajpol M Kid Syrup,Rajat Care LLP,,allopathy,,55.0,False,rajpol m kid syrup |  | rajat care llp | allopathy | 
MED0191614,Retonac Forte Tablet,Eveson Pharma,,allopathy,,189.0,False,retonac forte tablet |  | eveson pharma | allopathy | 
MED0191615,Ruclav 500mg/125mg Tablet,R B Pharmaceuticals,,allopathy,,140.0,False,ruclav 500mg/125mg tablet |  | r b pharmaceuticals | allopathy | 
MED0191616,Restkid Syrup Orange,Aegisco Remedies Pvt Ltd,,allopathy,,78.0,False,restkid syrup orange |  | aegisco remedies pvt ltd | allopathy | 
MED0191617,Rosuwish 10mg Tablet,Nusmith Pharma Pvt. Ltd,,allopathy,,122.0,False,rosuwish 10mg tablet |  | nusmith pharma pvt. ltd | allopathy | 
MED0191618,Renvorab 30mg/40mg Tablet,Leeford Healthcare Ltd,,allopathy,,120.0,False,renvorab 30mg/40mg tablet |  | leeford healthcare ltd | allopathy | 
MED0191619,Rabee 10mg Injection,RPG Life Sciences Ltd,,allopathy,,63.16,False,rabee 10mg injection |  | rpg life sciences ltd | allopathy | 
MED0191620,Ranicom 150mg Tablet,Comed Chemicals Ltd,,allopathy,,5.5,False,ranicom 150mg tablet |  | comed chemicals ltd | allopathy | 
MED0191621,Ronflox 400mg Tablet,Alkem Laboratories Ltd,,allopathy,,75.5,False,ronflox 400mg tablet |  | alkem laboratories ltd | allopathy | 
MED0191622,Roxon 1gm Injection,Rhombus Pharma Pvt Ltd,,allopathy,,75.0,False,roxon 1gm injection |  | rhombus pharma pvt ltd | allopathy | 
MED0191623,Rekcin 250mg Tablet,Rekvina Laboratories Ltd,,allopathy,,37.8,False,rekcin 250mg tablet |  | rekvina laboratories ltd | allopathy | 
MED0191624,Rabimed D 30mg/20mg Capsule SR,Medley Pharmaceuticals,,allopathy,,17.18,True,rabimed d 30mg/20mg capsule sr |  | medley pharmaceuticals | allopathy | 
MED0191625,Reostin 750mg Tablet,Medreich Lifecare Ltd,,allopathy,,131.55,False,reostin 750mg tablet |  | medreich lifecare ltd | allopathy | 
