catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0249408,Zumazi 500 Tablet,Zumax Biocare,,allopathy,,71.0,False,zumazi 500 tablet |  | zumax biocare | allopathy | 
MED0249409,Zomcid B Syrup,Zoom Healthcare,,allopathy,,92.0,False,zomcid b syrup |  | zoom healthcare | allopathy | 
MED0249410,Zaduclav 375 Tablet,Panm Labs India,,allopathy,,125.0,False,zaduclav 375 tablet |  | panm labs india | allopathy | 
MED0249411,Zulid MR 200mg/2mg Tablet,Sierra Pharmaceuticals Ltd,,allopathy,,43.0,False,zulid mr 200mg/2mg tablet |  | sierra pharmaceuticals ltd | allopathy | 
MED0249412,Zeworm 400mg Tablet,Beckcem Drug International Pvt. Ltd.,,allopathy,,125.0,False,zeworm 400mg tablet |  | beckcem drug international pvt. ltd. | allopathy | 
MED0249413,Zixi 100mg Tablet,Cadex Laboratories,,allopathy,,162.0,False,zixi 100mg tablet |  | cadex laboratories | allopathy | 
MED0249414,Zerox-SM 1000mg/500mg Injection,Pharmacon Healthcare,,allopathy,,140.0,False,zerox-sm 1000mg/500mg injection |  | pharmacon healthcare | allopathy | 
MED0249415,Zelide-P 100mg/500mg Tablet,Sunrise Remedies Pvt Ltd,,allopathy,,25.0,False,zelide-p 100mg/500mg tablet |  | sunrise remedies pvt ltd | allopathy | 
MED0249416,Zolover 20mg Injection,Evershine Lifesciences Pvt Ltd,,allopathy,,120.0,False,zolover 20mg injection |  | evershine lifesciences pvt ltd | allopathy | 
MED0249417,Ziftum 500mg Tablet,Positive Medicare Pvt Ltd,,allopathy,,399.0,False,ziftum 500mg tablet |  | positive medicare pvt ltd | allopathy | 
MED0249418,Zaxone-SB 750mg Injection,Solace Biotech Ltd,,allopathy,,79.0,False,zaxone-sb 750mg injection |  | solace biotech ltd | allopathy | 
MED0249419,Zaparin 60mg Injection,Invision Medi Sciences Pvt Ltd,,allopathy,,475.0,False,zaparin 60mg injection |  | invision medi sciences pvt ltd | allopathy | 
MED0249420,Zunaheal D 30mg/20mg Capsule SR,Zunarsh Lifesciences Pvt Ltd,,allopathy,,106.0,False,zunaheal d 30mg/20mg capsule sr |  | zunarsh lifesciences pvt ltd | allopathy | 
MED0249421,Zilotra 200mg Capsule,Atyad Life Sciences Pvt Ltd,,allopathy,,150.0,False,zilotra 200mg capsule |  | atyad life sciences pvt ltd | allopathy | 
MED0249422,Zertigo 8mg Tablet,Sunaxa Pharma,,allopathy,,40.0,False,zertigo 8mg tablet |  | sunaxa pharma | allopathy | 
MED0249423,Zoxiclav Dry Syrup,Venistro Biotech,,allopathy,,62.5,False,zoxiclav dry syrup |  | venistro biotech | allopathy | 
MED0249424,Zithee 500 Tablet,Avail Healthcare,,allopathy,,67.5,False,zithee 500 tablet |  | avail healthcare | allopathy | 
MED0249425,Zumheal 90mg/48mg/100mg Tablet,Zumax Biocare,,allopathy,,210.0,False,zumheal 90mg/48mg/100mg tablet |  | zumax biocare | allopathy | 
MED0249426,Zupress XL 50mg Tablet,Zunison Healthcare,,allopathy,,61.0,False,zupress xl 50mg tablet |  | zunison healthcare | allopathy | 
MED0249427,Zuricet M 5mg/10mg Tablet,Zurica International Pvt Ltd,,allopathy,,90.0,False,zuricet m 5mg/10mg tablet |  | zurica international pvt ltd | allopathy | 
MED0249428,Zirath 500 Tablet,Hamswell Lifecare,,allopathy,,67.0,False,zirath 500 tablet |  | hamswell lifecare | allopathy | 
MED0249429,Zifcas 200mg Tablet,Cassopeia Pharmaceuticals Pvt Ltd,,allopathy,,132.0,False,zifcas 200mg tablet |  | cassopeia pharmaceuticals pvt ltd | allopathy | 
MED0249430,Zedon 2mg Injection,Zidwell Healthcare,,allopathy,,19.0,False,zedon 2mg injection |  | zidwell healthcare | allopathy | 
MED0249431,Ziokof TM Syrup,Ziotic Life Sciences,,allopathy,,75.0,False,ziokof tm syrup |  | ziotic life sciences | allopathy | 
MED0249432,Zeodoxim CV 200mg/125mg Tablet,Sigma Softgel Formulation,,allopathy,,180.0,False,zeodoxim cv 200mg/125mg tablet |  | sigma softgel formulation | allopathy | 
MED0249433,Zxime 50 Oral Suspension,Sunfine Healthcare,,allopathy,,47.5,False,zxime 50 oral suspension |  | sunfine healthcare | allopathy | 
MED0249434,Zebox 80mg Tablet,Sigma Softgel Formulation,,allopathy,,130.0,False,zebox 80mg tablet |  | sigma softgel formulation | allopathy | 
MED0249435,Zosupin 75mg Tablet,Zoecia Healthcare,,allopathy,,113.0,False,zosupin 75mg tablet |  | zoecia healthcare | allopathy | 
MED0249436,Zednac 75mg Injection,Alentra Healthcare,,allopathy,,21.0,False,zednac 75mg injection |  | alentra healthcare | allopathy | 
MED0249437,Zepler M 150mg/1500mcg Tablet,Zeuson Medicines Pvt Ltd,,allopathy,,218.0,False,zepler m 150mg/1500mcg tablet |  | zeuson medicines pvt ltd | allopathy | 
MED0249438,Ziplan DS 1.5mg/2mg Tablet,Zion Pharmaceuticals Pvt Ltd,,allopathy,,32.0,False,ziplan ds 1.5mg/2mg tablet |  | zion pharmaceuticals pvt ltd | allopathy | 
MED0249439,Zithril 500 Tablet,Insead Lifesciences Pvt Ltd,,allopathy,,67.0,False,zithril 500 tablet |  | insead lifesciences pvt ltd | allopathy | 
MED0249440,Zaspo D 30mg/40mg Capsule SR,Aspo Healthcare,,allopathy,,139.0,False,zaspo d 30mg/40mg capsule sr |  | aspo healthcare | allopathy | 
MED0249441,Zokacin 250mg Injection,Zodley Pharmaceuticals Pvt Ltd,,allopathy,,11.0,False,zokacin 250mg injection |  | zodley pharmaceuticals pvt ltd | allopathy | 
MED0249442,Zithrolac 200mg Oral Suspension,Manlac Pharma,,allopathy,,84.0,False,zithrolac 200mg oral suspension |  | manlac pharma | allopathy | 
MED0249443,Zeloc 200mg Oral Suspension,Cogniwell Pharmaceuticals Private Limited,,allopathy,,45.0,False,zeloc 200mg oral suspension |  | cogniwell pharmaceuticals private limited | allopathy | 
MED0249444,Zeloc 250mg Tablet,Cogniwell Pharmaceuticals Private Limited,,allopathy,,66.0,False,zeloc 250mg tablet |  | cogniwell pharmaceuticals private limited | allopathy | 
MED0249445,Zutris 200mg Oral Suspension,Soinsvie Pharmacia Pvt Ltd,,allopathy,,49.5,False,zutris 200mg oral suspension |  | soinsvie pharmacia pvt ltd | allopathy | 
MED0249446,Zefocef O 200mg/200mg Tablet,Dawson Healthcare Pvt Ltd,,allopathy,,190.0,False,zefocef o 200mg/200mg tablet |  | dawson healthcare pvt ltd | allopathy | 
MED0249447,Zylomef P 500mg/325mg Tablet,Brostin Seizz Biocare,,allopathy,,45.0,False,zylomef p 500mg/325mg tablet |  | brostin seizz biocare | allopathy | 
MED0249448,Zestocef LB 200mg Tablet,Brostin Seizz Biocare,,allopathy,,143.0,False,zestocef lb 200mg tablet |  | brostin seizz biocare | allopathy | 
MED0249449,Zilev 500mg Tablet,Zicad Life Care,,allopathy,,80.0,False,zilev 500mg tablet |  | zicad life care | allopathy | 
